CD_GEOCODB,Total_HH_inc_in_CT_bairro_sum,Lit_grtr_5yrs_bairro_sum,Total_no_HH_in_CT_bairro_sum,PPH_Wtr_Spply_Ntwrk_bairro_sum,PPH_Sewerage_Conn_bairro_sum,PPH_Garbage_Col_Serv_bairro_sum,PPH_Elec_bairro_sum,Total_pop_branca_bairro_sum,Total_pop_preta_bairro_sum,Total_pop_amarela_bairro_sum,Total_pop_parda_bairro_sum,Total_pop_indigena_bairro_sum,Total_pop_bairro_sum,Lit_rate,Mean_HH_inc,Perc_Wtr_Spply_Ntwrk,Perc_Sewerage_Conn,Perc_Garbage_Col_Serv,Perc_PPH_Elec,Perc_branca,Perc_preta,Perc_amarela,Perc_parda,Perc_indigena
230440005001,17529682,13474,4457,4053,4254,3993,4413,6971,367,90,7070,7,14505,0.928921061702861,3933.06753421584,0.909356069104779,0.9544536683868072,0.8958940991698452,0.9901278887143818,0.4805928990003447,0.025301620130989314,0.0062047569803516025,0.4874181316787315,4.8259220958290247e-4
230440005002,112052888,39738,13771,12859,13434,12797,13718,26055,738,380,15158,30,42361,0.9380798375864593,8136.873720136518,0.933773872630891,0.9755282840752305,0.9292716578316753,0.9961513325103478,0.6150704657585987,0.01742168504048535,0.008970515332499233,0.3578291352895352,7.081985788815184e-4
230440005003,11359429,20984,6826,5998,6292,6408,6779,8174,1026,238,14601,8,24047,0.8726244437975631,1664.141371227659,0.8786990917081746,0.9217697040726633,0.9387635511280399,0.9931145619689423,0.3399176612467252,0.042666444878779054,0.009897284484551088,0.6071859275585312,3.3268183141348193e-4
230440005004,11171937,10629,3385,3073,3232,3360,3367,5273,350,83,5990,7,11703,0.9082286593181236,3300.4245199409156,0.9078286558345643,0.9548005908419498,0.9926144756277696,0.9946824224519941,0.45056823036828164,0.02990686148850722,0.0070921985815602835,0.5118345723318807,5.981372297701444e-4
230440005005,1392768,3005,1062,1001,956,732,1045,1122,276,49,2307,11,3765,0.798140770252324,1311.457627118644,0.9425612052730696,0.9001883239171374,0.6892655367231638,0.9839924670433146,0.29800796812749003,0.07330677290836653,0.01301460823373174,0.6127490039840637,0.0029216467463479417
230440005006,24253609,59471,20373,17848,17798,18904,20207,20536,4113,1151,46497,126,72423,0.8211617856205902,1190.4780346537084,0.876061453885044,0.8736072252491042,0.927894762676091,0.9918519609286801,0.28355632879057757,0.05679135081396794,0.015892741256230754,0.6420198003396711,0.0017397787995526283
230440005007,14450742,12450,4460,4105,4126,4042,4271,6838,538,165,5490,24,13248,0.9397644927536232,3240.0766816143496,0.9204035874439462,0.9251121076233184,0.9062780269058296,0.9576233183856502,0.5161533816425121,0.04060990338164251,0.012454710144927536,0.41440217391304346,0.0018115942028985507
230440005008,4551555,5920,1973,1961,1947,1959,1967,2971,283,74,3069,8,6405,0.9242779078844653,2306.9209325899647,0.9939178915357324,0.9868220983274202,0.9929042067916878,0.9969589457678661,0.463856362217018,0.04418423106947697,0.011553473848555816,0.4791569086651054,0.001249024199843872
230440005009,12407674,24289,8323,7641,7682,7711,8292,8697,1608,428,18272,71,29076,0.8353624982803687,1490.7694340982819,0.9180583924065842,0.9229845007809684,0.9264688213384596,0.9962753814730265,0.2991126702434998,0.05530334296326868,0.014720044022561564,0.6284220663089833,0.0024418764616866142
230440005010,27089126,26187,9991,8354,9218,8801,9707,12891,1177,287,14126,57,28538,0.9176186137781204,2711.3528175357824,0.8361525372835552,0.9226303673305976,0.8808928035231709,0.9715744169752778,0.4517135048006167,0.04124325460789123,0.010056766416707549,0.49498913729063004,0.0019973368841544607
230440005011,59748274,18972,6439,6265,6191,6342,6437,13427,385,246,6424,10,20492,0.925824712082764,9279.12315576953,0.9729771703680695,0.9614847025935704,0.9849355489982916,0.9996893927628514,0.6552313097794261,0.018787819636931484,0.012004684755026352,0.31348819051337107,4.8799531524497365e-4
230440005012,8548227,21912,7251,6484,6258,7186,7210,8029,1918,425,16263,82,26717,0.8201519631695176,1178.9031857674804,0.8942214866914908,0.8630533719486967,0.9910357192111433,0.9943456075024134,0.30052026799416104,0.07178949732380133,0.015907474641613954,0.6087135531683947,0.003069206872029045
230440005013,9837805,9793,3537,3376,3113,3110,3513,5092,312,85,5215,15,10719,0.9136113443418229,2781.39807746678,0.9544811987560079,0.8801243992083687,0.8792762227876731,0.993214588634436,0.4750443138352458,0.029107192835152534,0.007929844201884504,0.48651926485679636,0.001399384270920795
230440005014,38689031,14800,4856,4727,4721,4411,4841,10013,283,91,5242,5,15634,0.9466547268773187,7967.2633855024715,0.9734349258649094,0.9721993410214168,0.9083607907742999,0.9969110378912686,0.6404630932582832,0.018101573493667648,0.005820647307151081,0.3352948701547908,3.1981578610720227e-4
230440005015,9538024,10855,3648,3221,3123,3474,3596,5098,355,114,6484,12,12063,0.8998590731990384,2614.589912280702,0.8829495614035088,0.8560855263157895,0.9523026315789473,0.9857456140350878,0.4226146066484291,0.029428831965514383,0.00945038547624969,0.5375113984912543,9.94777418552599e-4
230440005016,37215176,21970,7418,7066,7104,7002,7248,13257,628,259,9146,19,23309,0.9425543781372002,5016.87462928013,0.9525478565651119,0.9576705311404692,0.9439201941224049,0.9770827716365598,0.5687502681367712,0.02694238277060363,0.011111587798704364,0.39238062550945985,8.151357844609379e-4
230440005017,9202508,23830,8273,6847,7094,8213,8238,8685,1235,279,18681,16,28896,0.8246816168327796,1112.3544058987065,0.827632056086063,0.8574882146742415,0.9927474918409284,0.9957693702405416,0.3005606312292359,0.04273947951273532,0.009655315614617941,0.6464908637873754,5.537098560354374e-4
230440005018,9083685,12258,4421,3449,3588,3404,4140,5036,463,180,8517,8,14204,0.8629963390594199,2054.6674960416194,0.7801402397647591,0.8115810902510744,0.7699615471612757,0.9364397195204704,0.35454801464376234,0.03259645170374542,0.012672486623486343,0.5996198254012954,5.63221627710504e-4
230440005019,7748683,11010,3632,3578,3358,3488,3621,5226,485,78,6470,5,12264,0.8977495107632094,2133.447962555066,0.9851321585903083,0.9245594713656388,0.960352422907489,0.9969713656387665,0.4261252446183953,0.03954664057403783,0.006360078277886497,0.5275603392041748,4.0769732550554466e-4
230440005020,6554487,12956,4290,2394,3697,4033,4278,5618,461,216,8608,16,14919,0.8684228165426637,1527.8524475524475,0.558041958041958,0.8617715617715618,0.9400932400932401,0.9972027972027973,0.376566794021047,0.030900194383001543,0.014478182183792479,0.5769823714726188,0.0010724579395401837
230440005021,8922626,19979,6620,5313,5495,6561,6553,7689,879,295,14294,27,23184,0.8617581090407177,1347.8287009063445,0.8025679758308157,0.8300604229607251,0.9910876132930514,0.9898791540785499,0.3316511387163561,0.03791407867494824,0.012724292615596964,0.6165458937198067,0.0011645962732919255
230440005022,30637309,21701,7480,6787,7269,7366,7410,11499,695,225,11000,31,23450,0.9254157782515992,4095.89692513369,0.9073529411764706,0.9717914438502674,0.98475935828877,0.9906417112299465,0.49036247334754796,0.029637526652452027,0.009594882729211088,0.4690831556503198,0.0013219616204690832
230440005023,9371827,8311,2871,2749,2773,2828,2834,4529,291,94,3928,6,8848,0.9393083182640145,3264.307558342041,0.95750609543713,0.9658655520724486,0.985022640195054,0.9871125043538836,0.5118670886075949,0.03288878842676311,0.010623869801084991,0.44394213381555153,6.78119349005425e-4
230440005024,123923204,35034,12792,12389,12644,12501,12769,24465,551,367,11722,15,37120,0.9438038793103448,9687.555034396497,0.9684959349593496,0.9884302689180738,0.9772514071294559,0.9982020012507817,0.6590786637931034,0.01484375,0.009886853448275862,0.3157866379310345,4.040948275862069e-4
230440005025,8053478,11820,3841,3618,3426,3835,3835,5256,386,155,7409,9,13215,0.8944381384790011,2096.713876594637,0.9419422025514189,0.891955219994793,0.9984379067951055,0.9984379067951055,0.39772985244040865,0.029209231933409005,0.01172909572455543,0.5606507756337495,6.81044267877412e-4
230440005026,33667034,12552,4455,4049,3962,3892,4435,6879,379,85,6387,17,13747,0.9130719429693751,7557.134455667789,0.9088664421997755,0.889337822671156,0.8736251402918069,0.9955106621773289,0.5004000872917728,0.027569651560340438,0.006183167236487961,0.46461046046410126,0.0012366334472975922
230440005027,27097527,17696,6228,5854,5313,5575,6190,9705,1066,432,9116,42,20361,0.8691125190314818,4350.919556840077,0.9399486191393706,0.853082851637765,0.8951509312780989,0.9938985228002569,0.47664653013113306,0.0523549923874073,0.021217032562251364,0.44771867786454494,0.002062767054663327
230440005028,5992561,6136,2030,1913,1772,2000,2004,2971,242,74,3408,20,6715,0.9137751303052867,2952.0004926108372,0.9423645320197044,0.8729064039408867,0.9852216748768473,0.987192118226601,0.4424422933730454,0.03603871928518243,0.011020104244229337,0.5075204765450484,0.0029784065524944155
230440005029,15410597,13519,4605,4175,4179,4412,4424,6751,319,147,7202,13,14432,0.9367378048780488,3346.4922909880565,0.9066232356134636,0.9074918566775244,0.9580890336590663,0.9606948968512486,0.467779933481153,0.022103658536585365,0.01018569844789357,0.499029933481153,9.007760532150776e-4
230440005030,10658718,9158,3008,2899,2893,2895,2937,4614,445,153,4756,24,9992,0.916533226581265,3543.456781914894,0.9637632978723404,0.9617686170212766,0.9624335106382979,0.9763962765957447,0.46176941553242595,0.044535628502802245,0.015312249799839871,0.47598078462770216,0.0024019215372297837
230440005031,5066325,13991,4870,4025,3635,4516,4673,5085,1434,196,11023,37,17775,0.7871167369901547,1040.3131416837782,0.8264887063655031,0.7464065708418891,0.9273100616016428,0.9595482546201232,0.28607594936708863,0.08067510548523207,0.011026722925457103,0.6201406469760901,0.0020815752461322084
230440005032,5368756,2900,1093,1065,1067,1056,1089,1628,124,78,1296,4,3130,0.9265175718849841,4911.945105215004,0.9743824336688015,0.9762122598353157,0.9661482159194876,0.9963403476669717,0.5201277955271566,0.03961661341853035,0.024920127795527155,0.41405750798722046,0.0012779552715654952
230440005033,15720033,20411,6777,6146,6225,6568,6644,9319,685,290,12700,10,23004,0.8872804729612241,2319.6153165117307,0.9068909546997196,0.918548030101815,0.9691603954552162,0.9803747971078648,0.4051034602677795,0.029777430012171795,0.012606503216831856,0.5520778994957398,4.347070074769605e-4
230440005034,13840499,17150,5710,5277,5251,5215,5663,7721,903,207,10265,18,19114,0.8972480904049388,2423.905253940455,0.9241681260945709,0.919614711033275,0.9133099824868651,0.991768826619965,0.40394475253740714,0.047242858637647794,0.010829758292351156,0.5370409124202156,9.417181123783614e-4
230440005035,22421040,25419,8598,8153,6936,7303,8479,12224,1026,241,14892,25,28678,0.8863588813724806,2607.7041172365666,0.948243777622703,0.8066992323796232,0.8493835775761805,0.9861595719934868,0.42625008717483787,0.03577655345561057,0.008403654369202873,0.5192830741334821,8.71748378548016e-4
230440005036,14873124,7023,2466,2362,2400,2202,2460,3965,183,68,3282,10,7508,0.9354022376132126,6031.274939172749,0.9578264395782644,0.9732360097323601,0.8929440389294404,0.9975669099756691,0.5281033564198189,0.0243740010655301,0.009057005860415556,0.4371337240277038,0.0013319126265316996
230440005037,26209510,37591,12807,11768,9086,11853,12673,17372,2110,543,25453,40,45518,0.8258491146359682,2046.4987897243695,0.9188724916061529,0.7094557663777622,0.9255094869992972,0.9895369719684548,0.381651214903994,0.046355288017926974,0.011929346632101587,0.5591853772134101,8.78773232567336e-4
230440005038,4650582,6504,2115,1891,2063,2111,2112,2951,204,134,3919,4,7212,0.9018302828618968,2198.8567375886523,0.8940898345153664,0.9754137115839243,0.9981087470449173,0.9985815602836879,0.4091791458679978,0.028286189683860232,0.01858014420410427,0.5433998890737659,5.546311702717693e-4
230440005039,25261638,51577,17338,13403,13729,16775,17283,20406,2195,761,38211,44,61617,0.8370579547852054,1457.0099204060446,0.7730418733417926,0.79184450340293,0.9675279732379743,0.9968277771369247,0.33117483811285847,0.03562328578152133,0.012350487690085529,0.620137299771167,7.140886443676259e-4
230440005110,7330177,17704,6330,6074,4640,5505,6286,6096,1164,245,14847,30,22382,0.7909927620409257,1158.0058451816747,0.9595576619273302,0.7330173775671406,0.8696682464454977,0.9930489731437598,0.2723617192386739,0.0520060763113216,0.010946296130819409,0.6633455455276561,0.0013403627915289072
230440005111,7582978,7656,2624,2598,2621,2623,2624,4024,244,101,3894,9,8272,0.925531914893617,2889.8544207317073,0.9900914634146342,0.9988567073170732,0.9996189024390244,1,0.4864603481624758,0.029497098646034815,0.012209864603481625,0.47074468085106386,0.0010880077369439071
230440005112,2368249,3744,1370,1299,1091,1239,1348,1579,531,91,2579,3,4783,0.7827723186284758,1728.648905109489,0.9481751824817518,0.7963503649635036,0.9043795620437957,0.983941605839416,0.33012753501986203,0.11101818942086557,0.019025716077775454,0.5392013380723395,6.272214091574326e-4
230440005113,3808073,3561,1353,1048,609,889,1334,1779,208,60,2385,4,4436,0.8027502254283138,2814.540280857354,0.7745750184774575,0.4501108647450111,0.6570583887657059,0.9859571322985957,0.4010369702434626,0.046889089269612265,0.013525698827772768,0.5376465284039675,9.017132551848512e-4
230440005114,4340872,8355,3115,2899,435,2288,3070,3312,834,161,6450,58,10815,0.7725381414701803,1393.5383627608346,0.9306581059390048,0.13964686998394862,0.7345104333868379,0.985553772070626,0.3062413314840499,0.07711511789181692,0.01488673139158576,0.5963938973647711,0.005362921867776237
230440005115,6858462,1949,554,469,519,532,553,1416,51,33,652,2,2154,0.9048282265552461,12379.895306859205,0.8465703971119134,0.9368231046931408,0.9602888086642599,0.9981949458483754,0.6573816155988857,0.023676880222841225,0.01532033426183844,0.30269266480965645,9.285051067780873e-4
230440060040,12498522,22579,7552,6657,5793,7173,7452,10426,1328,299,13773,20,25846,0.8735974618896541,1654.994968220339,0.8814883474576272,0.7670815677966102,0.9498146186440678,0.9867584745762712,0.4033893058887255,0.05138125822177513,0.011568521241197864,0.5328871005184554,7.73814129846011e-4
230440060041,6115085,16628,5613,5380,4723,5455,5590,6077,1194,308,13609,20,21208,0.7840437570728027,1089.4503830393728,0.9584892214502049,0.8414395154106539,0.9718510600391947,0.9959023694993765,0.2865428140324406,0.056299509619011694,0.014522821576763486,0.6416918144096567,9.43040362127499e-4
230440060042,10151865,17340,5491,5361,5456,5417,5472,7799,731,332,10342,17,19221,0.9021382862494147,1848.8189765070115,0.9763248952831907,0.9936259333454744,0.9865234019304316,0.9965397923875432,0.405754123094532,0.03803131991051454,0.017272774569481297,0.5380573331252276,8.844493002445243e-4
230440060043,6168134,11362,3834,3605,1803,3576,3826,4568,451,301,7818,9,13147,0.8642275804366015,1608.7986437141367,0.9402712571726656,0.4702660406885759,0.9327073552425665,0.9979134063641106,0.34745569331406406,0.034304404046550545,0.022894957024416216,0.5946603787936411,6.845668213280597e-4
230440060044,10958363,31532,11358,11060,7132,10728,11278,11840,2327,801,25298,70,40336,0.7817334391114638,964.814491988026,0.9737629864412749,0.6279274520162,0.9445324881141046,0.9929565064271879,0.2935343117810393,0.057690400634668786,0.019858191193970646,0.6271816739389131,0.0017354224514081714
230440060045,12832925,23531,7840,7512,2054,7319,7799,9842,1670,422,15049,11,26994,0.8717122323479292,1636.8526785714287,0.9581632653061225,0.26198979591836735,0.9335459183673469,0.9947704081632653,0.36459954063866046,0.06186559976291028,0.015633103652663554,0.5574942579832556,4.0749796251018743e-4
230440060046,7100694,15699,5253,4965,2401,5152,5222,6646,1004,332,10359,57,18398,0.853299271659963,1351.7407195888063,0.9451741861793261,0.45707214924804873,0.9807728916809442,0.9940986103179136,0.36123491683878683,0.05457114903793891,0.01804543972170888,0.5630503315577781,0.0030981628437873683
230440060047,6975311,11083,3866,3261,3269,3260,3746,5032,525,251,7123,5,12936,0.856756338899196,1804.270822555613,0.8435075012933264,0.8455768235902742,0.8432488360062079,0.9689601655457838,0.38899196042053186,0.040584415584415584,0.019403215831787262,0.5506338899196042,3.865182436611008e-4
230440060048,12125016,28594,9800,8214,7635,9358,9719,11185,1344,651,21892,48,35120,0.8141799544419135,1237.246530612245,0.8381632653061224,0.7790816326530612,0.9548979591836735,0.991734693877551,0.3184794988610478,0.03826879271070615,0.01853644646924829,0.6233485193621868,0.001366742596810934
2304400600480,4851189,10339,3409,2716,2853,3339,3366,4445,660,240,6789,23,12157,0.8504565271037262,1423.053388090349,0.7967145790554415,0.8369023173951305,0.9794661190965093,0.9873863303021414,0.36563296866003125,0.054289709632310605,0.019741712593567492,0.5584436949905405,0.001891914123550218
230440065049,17554174,13688,4568,4142,332,3668,4562,5952,722,233,9063,33,16003,0.8553396238205336,3842.8577057793345,0.9067425569176882,0.07267950963222417,0.8029772329246935,0.9986865148861647,0.3719302630756733,0.045116540648628384,0.014559770043116916,0.5663313128788352,0.0020621133537461725
230440065050,1797248,4972,1921,1811,134,1566,1856,1666,548,48,4461,3,6728,0.739001189060642,935.5793857365956,0.9427381572097866,0.06975533576262363,0.8152004164497657,0.9661634565330557,0.2476218787158145,0.08145065398335315,0.007134363852556481,0.6630499405469679,4.4589774078478004e-4
2304400650500,5032504,10844,4005,3856,691,3522,3903,4041,559,165,8415,5,13342,0.8127716983960426,1256.5553058676653,0.9627965043695381,0.17253433208489388,0.8794007490636704,0.9745318352059925,0.3028781292160096,0.041897766451806324,0.012366961475041223,0.6307150352271024,3.747564083345825e-4
